Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Assembly Name	Assembly Accession	Annotation Name	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Assembly Stats Contig N50	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Assembly BioSample Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title
Pectobacterium brasiliense		Y21				ASM80823v1	GCA_000808235.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4762596	Contig	2014-12-29	385890	4184	4042	SAMN03252605	PRJNA269226			Pectobacterium brasiliense strain:Y21 Genome sequencing and assembly
Pectobacterium brasiliense		Y29				ASM80824v1	GCA_000808245.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4815476	Scaffold	2014-12-29	262727	4264	4102	SAMN03252606	PRJNA269227			Pectobacterium brasiliense strain:Y29 Genome sequencing and assembly
Pectobacterium brasiliense		YC Y46				ASM80825v1	GCA_000808255.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4777745	Scaffold	2014-12-29	263813	4243	4090	SAMN03252603	PRJNA269222			Pectobacterium brasiliense strain:Y46 Genome sequencing and assembly
Pectobacterium brasiliense		Y31				ASM80829v1	GCA_000808295.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4826010	Scaffold	2014-12-29	815405	4233	4067	SAMN03252607	PRJNA269228			Pectobacterium brasiliense strain:Y31 Genome sequencing and assembly
Pectobacterium brasiliense		Y3				ASM80831v1	GCA_000808315.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4740143	Scaffold	2014-12-29	678245	4154	4002	SAMN03252608	PRJNA269230			Pectobacterium brasiliense strain:Y3 Genome sequencing and assembly
Pectobacterium brasiliense		Y65				ASM80833v1	GCA_000808335.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4680590	Contig	2014-12-29	239237	4136	4000	SAMN03252609	PRJNA269231			Pectobacterium brasiliense strain:Y65 Genome sequencing and assembly
Pectobacterium brasiliense		B6				ASM80835v1	GCA_000808355.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4683764	Scaffold	2014-12-29	241166	4180	4030	SAMN03252622	PRJNA269238			Pectobacterium brasiliense strain:B6 Genome sequencing and assembly
Pectobacterium brasiliense		S2				ASM80837v1	GCA_000808375.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4836921	Scaffold	2014-12-29	234442	4358	4172	SAMN03252599	PRJNA269218			Pectobacterium brasiliense strain:S2 Genome sequencing and assembly
Pectobacterium brasiliense		Y52				ASM80838v1	GCA_000808385.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4780080	Scaffold	2014-12-29	429995	4216	4068	SAMN03252594	PRJNA269211			Pectobacterium brasiliense strain:Y52 Genome sequencing and assembly
Pectobacterium brasiliense		Y60				ASM80845v1	GCA_000808455.1	From INSDC submitter									Beijing Academy of Agriculture and Forestry Sciences	4832431	Scaffold	2014-12-29	375495	4243	4083	SAMN03252617	PRJNA269233			Pectobacterium brasiliense strain:Y60 Genome sequencing and assembly
Pectobacterium brasiliense		BD255				ASM123857v1	GCA_001238575.1										University of South Africa	4820279	Contig	2015-08-05	1001875			SAMN03835252	PRJNA288624			Pectobacterium brasiliense strain:BD255 Genome sequencing and assembly
Pectobacterium brasiliense		PcbHPI01				ASM142956v2	GCA_001429565.2	From INSDC submitter									University of Pretoria	4815892	Contig	2015-11-02	404385	4269	4109	SAMN04127569	PRJNA297630			Pectobacterium brasiliense strain:PcbHPI01 Genome sequencing and assembly
Pectobacterium brasiliense		BC1				ASM193263v1	GCA_001932635.1	From INSDC submitter									Institute of Crop Sciences, Chinese Academy of Agricultural Science	4920350	Complete Genome	2017-01-04	4920350	4324	4154	SAMN03104805	PRJNA263220			Pectobacterium brasiliense strain:BC1 Genome sequencing
Pectobacterium brasiliense		SX309				ASM206811v1	GCA_002068115.1	From INSDC submitter									Chinese Academy of Agricultural Sciences	4966299	Complete Genome	2017-03-22	4966299	4455	4252	SAMN06605957	PRJNA379343			Pectobacterium brasiliense strain:SX309 Genome sequencing
Pectobacterium brasiliense		BZA12				ASM276403v1	GCA_002764035.1	From INSDC submitter									Shenyang Agricultural University	4924809	Complete Genome	2017-11-13	4924809	4476	4251	SAMN07961732	PRJNA416681			Pectobacterium carotovorum subsp. brasiliense strain:BZA12 Genome sequencing
Pectobacterium brasiliense		F157				ASM293053v1	GCA_002930535.1	From INSDC submitter									Institute of Bioorganic Chemistry	4863659	Contig	2018-02-16	477849	4352	4271	SAMN08141583	PRJNA400696			Soft rot pathogens Genome sequencing and assembly
Pectobacterium brasiliense		F152				ASM293055v1	GCA_002930555.1	From INSDC submitter									Institute of Bioorganic Chemistry	4765091	Contig	2018-02-16	174410	4336	4254	SAMN08141585	PRJNA400696			Soft rot pathogens Genome sequencing and assembly
Pectobacterium brasiliense		F126				ASM399051v2	GCA_003990515.2	From INSDC submitter									Institute of Bioorganic Chemistry	5052362	Complete Genome	2020-12-01	5052362	4455	4294	SAMN10496967	PRJNA400696			Soft rot pathogens Genome sequencing and assembly
Pectobacterium brasiliense		1692				ASM987329v1	GCA_009873295.1	From INSDC submitter									Cornell University	4851982	Complete Genome	2020-01-14	4851982	4310	4139	SAMN13779957	PRJNA599934			Pectobacterium brasiliense 1692 Raw sequence reads
Pectobacterium brasiliense		CFBP5381				ASM1344947v1	GCA_013449475.1	From INSDC submitter									Sorbonne University	4600084	Scaffold	2020-07-21	122817	4121	4002	SAMN15366395	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium brasiliense		CFBP3230				ASM1344948v1	GCA_013449485.1	From INSDC submitter									Sorbonne University	4850518	Scaffold	2020-07-21	221995	4307	4183	SAMN15366239	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium brasiliense		CFBP7357				ASM1344953v1	GCA_013449535.1	From INSDC submitter									Sorbonne University	4805970	Scaffold	2020-07-21	178378	4373	4246	SAMN15366440	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium brasiliense		CFBP8736				ASM1344968v1	GCA_013449685.1	From INSDC submitter									Sorbonne University	4665864	Scaffold	2020-07-21	89685	4376	4172	SAMN15366227	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium brasiliense		ZLMLSHJ5				ASM1686497v1	GCA_016864975.1	From INSDC submitter									Fujian Academy of Agricultural Sciences	4700945	Complete Genome	2021-02-11	4700945	4162	4016	SAMN16287596	PRJNA666279			Complete genome sequences of three Pectobacterium strains isolated from potato plant with blackleg symptoms and comparative genomic analyses
Pectobacterium brasiliense		IPO:4134 NAK:395				ASM1694423v1	GCA_016944235.1	From INSDC submitter									Wageningen Plant Research	5049889	Complete Genome	2021-02-25	5049889	4454	4293	SAMN15660276	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4132 NAK:239				ASM1694425v1	GCA_016944255.1	From INSDC submitter									Wageningen Plant Research	4832085	Complete Genome	2021-02-25	4832085	4308	4146	SAMN15660313	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4071 NAK:240				ASM1694427v1	GCA_016944275.1	From INSDC submitter									Wageningen Plant Research	5127417	Complete Genome	2021-02-25	5127417	4534	4362	SAMN15660298	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4065 NAK:223				ASM1694429v1	GCA_016944295.1	From INSDC submitter									Wageningen Plant Research	5059267	Complete Genome	2021-02-25	5059267	4462	4280	SAMN15660296	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4062 NAK:237				ASM1694431v1	GCA_016944315.1	From INSDC submitter									Wageningen Plant Research	4832397	Complete Genome	2021-02-25	4832397	4343	4177	SAMN15660315	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4060 NAK:251				ASM1694443v1	GCA_016944435.1	From INSDC submitter									Wageningen Plant Research	5063001	Complete Genome	2021-02-25	5063001	4445	4275	SAMN15660312	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4057 NAK:249				ASM1694455v1	GCA_016944555.1	From INSDC submitter									Wageningen Plant Research	5137126	Complete Genome	2021-02-25	5137126	4547	4383	SAMN15660314	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3710 NAK:380				ASM1694459v1	GCA_016944595.1	From INSDC submitter									Wageningen Plant Research	5072816	Complete Genome	2021-02-25	5072816	4477	4300	SAMN15660291	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3649 NAK:375				ASM1694461v1	GCA_016944615.1	From INSDC submitter									Wageningen Plant Research	5057861	Complete Genome	2021-02-25	5057861	4464	4287	SAMN15660289	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:468				ASM1694905v1	GCA_016949055.1	From INSDC submitter									Wageningen Plant Research	4628076	Scaffold	2021-02-25	187558	4364	4108	SAMN15660287	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:470				ASM1694909v1	GCA_016949095.1	From INSDC submitter									Wageningen Plant Research	4725455	Scaffold	2021-02-25	130338	4446	4213	SAMN15660288	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:434				ASM1694913v1	GCA_016949135.1	From INSDC submitter									Wageningen Plant Research	4730373	Scaffold	2021-02-25	180665	4253	4117	SAMN15660283	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:432				ASM1694914v1	GCA_016949145.1	From INSDC submitter									Wageningen Plant Research	4723893	Scaffold	2021-02-25	174295	4314	4142	SAMN15660281	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:466				ASM1694915v1	GCA_016949155.1	From INSDC submitter									Wageningen Plant Research	4891259	Scaffold	2021-02-25	547568	4424	4267	SAMN15660285	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:435				ASM1694919v1	GCA_016949195.1	From INSDC submitter									Wageningen Plant Research	4737367	Scaffold	2021-02-25	160363	4269	4121	SAMN15660284	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:433				ASM1694921v1	GCA_016949215.1	From INSDC submitter									Wageningen Plant Research	4540814	Scaffold	2021-02-25	112918	4247	3997	SAMN15660282	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:430				ASM1694923v1	GCA_016949235.1	From INSDC submitter									Wageningen Plant Research	5002682	Scaffold	2021-02-25	264202	4445	4306	SAMN15660279	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4131 NAK:399 JGAR:16 180717-4				ASM1694925v1	GCA_016949255.1	From INSDC submitter									Wageningen Plant Research	4894493	Scaffold	2021-02-25	483192	4379	4250	SAMN15660277	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:431				ASM1694927v1	GCA_016949275.1	From INSDC submitter									Wageningen Plant Research	5091463	Scaffold	2021-02-25	264202	4545	4410	SAMN15660280	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:396				ASM1694929v1	GCA_016949295.1	From INSDC submitter									Wageningen Plant Research	4760560	Scaffold	2021-02-25	230520	4294	4150	SAMN15660273	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:397				ASM1694931v1	GCA_016949315.1	From INSDC submitter									Wageningen Plant Research	5107335	Scaffold	2021-02-25	276156	4584	4438	SAMN15660274	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4135 NAK:383				ASM1694933v1	GCA_016949335.1	From INSDC submitter									Wageningen Plant Research	5096024	Scaffold	2021-02-25	264202	4539	4402	SAMN15660275	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:385				ASM1694934v1	GCA_016949345.1	From INSDC submitter									Wageningen Plant Research	4748136	Scaffold	2021-02-25	261415	4313	4162	SAMN15660272	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:384				ASM1694935v1	GCA_016949355.1	From INSDC submitter									Wageningen Plant Research	5101799	Scaffold	2021-02-25	264204	4552	4413	SAMN15660271	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3711 NAK:381				ASM1694937v1	GCA_016949375.1	From INSDC submitter									Wageningen Plant Research	5027724	Scaffold	2021-02-25	264207	4485	4327	SAMN15660321	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3709 NAK:379 112-1c				ASM1694943v1	GCA_016949435.1	From INSDC submitter									Wageningen Plant Research	5112456	Scaffold	2021-02-25	267039	4570	4429	SAMN15660294	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4056 NAK:264 GBBC:1756				ASM1694951v1	GCA_016949515.1	From INSDC submitter									Wageningen Plant Research	4658289	Scaffold	2021-02-25	853099	4200	4068	SAMN15660278	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3650 NAK:376				ASM1694952v1	GCA_016949525.1	From INSDC submitter									Wageningen Plant Research	5001990	Scaffold	2021-02-25	266940	4442	4305	SAMN15660290	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3708 NAK:378 99a				ASM1694954v1	GCA_016949545.1	From INSDC submitter									Wageningen Plant Research	5056980	Contig	2021-02-25	276076	4561	4401	SAMN15660293	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3707 NAK:377 77a				ASM1694959v1	GCA_016949595.1	From INSDC submitter									Wageningen Plant Research	5061132	Scaffold	2021-02-25	264206	4535	4393	SAMN15660292	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4066 NAK:259				ASM1694965v1	GCA_016949655.1	From INSDC submitter									Wageningen Plant Research	5045193	Scaffold	2021-02-25	276150	4509	4370	SAMN15660311	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:254				ASM1694970v1	GCA_016949705.1	From INSDC submitter									Wageningen Plant Research	4813663	Scaffold	2021-02-25	330925	4337	4221	SAMN15660310	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:252				ASM1694973v1	GCA_016949735.1	From INSDC submitter									Wageningen Plant Research	4828369	Scaffold	2021-02-25	179732	4355	4201	SAMN15660308	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:250				ASM1694977v1	GCA_016949775.1	From INSDC submitter									Wageningen Plant Research	4704094	Scaffold	2021-02-25	997379	4214	4092	SAMN15660303	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4073 NAK:248				ASM1694979v1	GCA_016949795.1	From INSDC submitter									Wageningen Plant Research	4881430	Scaffold	2021-02-25	322717	4397	4271	SAMN15660307	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:243				ASM1694983v1	GCA_016949835.1	From INSDC submitter									Wageningen Plant Research	5033639	Scaffold	2021-02-25	264018	4483	4345	SAMN15660300	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:245				ASM1694985v1	GCA_016949855.1	From INSDC submitter									Wageningen Plant Research	4746856	Scaffold	2021-02-25	318588	4280	4140	SAMN15660301	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:247				ASM1694987v1	GCA_016949875.1	From INSDC submitter									Wageningen Plant Research	5015564	Scaffold	2021-02-25	266940	4442	4308	SAMN15660302	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		NAK:241				ASM1694988v1	GCA_016949885.1	From INSDC submitter									Wageningen Plant Research	5004353	Scaffold	2021-02-25	276072	4445	4311	SAMN15660299	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4058 NAK:235				ASM1694991v1	GCA_016949915.1	From INSDC submitter									Wageningen Plant Research	4726163	Scaffold	2021-02-25	239210	4247	4108	SAMN15660305	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4068 NAK:256				ASM1694997v1	GCA_016949975.1	From INSDC submitter									Wageningen Plant Research	4683104	Contig	2021-02-25	4436369	4247	4081	SAMN15660316	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4055 NAK:152 GBBC:1819				ASM1694999v1	GCA_016949995.1	From INSDC submitter									Wageningen Plant Research	5057400	Scaffold	2021-02-25	253438	4555	4382	SAMN15660295	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4067 NAK:257				ASM1695001v1	GCA_016950015.1	From INSDC submitter									Wageningen Plant Research	4685409	Contig	2021-02-25	2619903	4212	4036	SAMN15660304	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3844 NAK:382 JGAR:12				ASM1695007v1	GCA_016950075.1	From INSDC submitter									Wageningen Plant Research	4815292	Contig	2021-02-25	4094136	4328	4149	SAMN15660317	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:4064 NAK:242				ASM1695008v1	GCA_016950085.1	From INSDC submitter									Wageningen Plant Research	5125342	Contig	2021-02-25	1556647	4623	4322	SAMN15660306	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3843 JGAR:11				ASM1695012v1	GCA_016950125.1	From INSDC submitter									Wageningen Plant Research	4996909	Scaffold	2021-02-25	266940	4424	4296	SAMN15660322	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3630				ASM1695017v1	GCA_016950175.1	From INSDC submitter									Wageningen Plant Research	4774546	Contig	2021-02-25	208749	4266	4145	SAMN15660326	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3644				ASM1695018v1	GCA_016950185.1	From INSDC submitter									Wageningen Plant Research	4947757	Scaffold	2021-02-25	39925	4552	4304	SAMN15660327	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3628				ASM1695019v1	GCA_016950195.1	From INSDC submitter									Wageningen Plant Research	4855621	Scaffold	2021-02-25	284346	4351	4205	SAMN15660325	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3643				ASM1695022v1	GCA_016950225.1	From INSDC submitter									Wageningen Plant Research	4985501	Scaffold	2021-02-25	227585	4429	4296	SAMN15660323	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3540 CFBP:6617 ATCC:BAA-417 IBSBF:1692				ASM1695025v1	GCA_016950255.1	From INSDC submitter									Wageningen Plant Research	4880585	Contig	2021-02-25	3291298	4349	4138	SAMN15660329	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:0821 SCRI:133				ASM1695028v1	GCA_016950285.1	From INSDC submitter									Wageningen Plant Research	4664813	Scaffold	2021-02-25	595412	4153	4040	SAMN15660324	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:0590				ASM1695031v1	GCA_016950315.1	From INSDC submitter									Wageningen Plant Research	4913655	Contig	2021-02-25	79855	4513	4310	SAMN15660328	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		IPO:3649 NAK:55				ASM1698859v1	GCA_016988595.1	From INSDC submitter									Wageningen Plant Research	5065773	Scaffold	2021-02-26	215040	4617	4478	SAMN15660330	PRJNA649220			Pectobacterium genome sequencing for pangenomics
Pectobacterium brasiliense		BL-2				ASM1725507v1	GCA_017255075.1	From INSDC submitter									Hebei Academy of Agricultural and Forestry Sciences	4797660	Scaffold	2021-03-06	357113	4271	4133	SAMN18024966	PRJNA650563			Pectobacterium carotovorum and Pectobacterium brasiliense Genome sequencing and assembly
Pectobacterium brasiliense		A1				ASM1942632v1	GCA_019426325.1	From INSDC submitter									UNAM FES IZTACALA	4496704	Contig	2021-07-30	46958	4025	3956	SAMN16451445	PRJNA669375			Pectobacterium sp. isolated from the soft rot of the columnar cactus Neobuxbaumia tetetzo
Pectobacterium brasiliense		SR11				ASM2029542v1	GCA_020295425.1	From INSDC submitter									Iowa State University	4850767	Contig	2021-10-05	418405	4423	4285	SAMN21916064	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		SR8				ASM2029550v1	GCA_020295505.1	From INSDC submitter									Iowa State University	4856264	Contig	2021-10-05	199289	4441	4302	SAMN21916062	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		SR5				ASM2029560v1	GCA_020295605.1	From INSDC submitter									Iowa State University	4851919	Contig	2021-10-05	538423	4425	4287	SAMN21916059	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		SR6				ASM2029662v1	GCA_020296625.1	From INSDC submitter									Iowa State University	4853882	Contig	2021-10-05	408271	4427	4288	SAMN21916060	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		SR7				ASM2029738v1	GCA_020297385.1	From INSDC submitter									Iowa State University	4854747	Contig	2021-10-05	209828	4438	4299	SAMN21916061	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		A079-S20-O15				ASM2040695v1	GCA_020406955.1	From INSDC submitter									Sorbonne University	4812828	Scaffold	2021-10-10	161142	4319	4205	SAMN22029071	PRJNA768349			Draft genomes of Pectobacterium sp. and Dickeya sp. isolated in France from fresh water
Pectobacterium brasiliense		SR10				ASM2042310v1	GCA_020423105.1	From INSDC submitter									Iowa State University	4885560	Complete Genome	2021-10-12	4885560	4425	4269	SAMN21916063	PRJNA767613			Pectobacterium soft rot genomes
Pectobacterium brasiliense		TS20HJ1				ASM2068310v1	GCA_020683105.1	From INSDC submitter									Hebei Agricultural University	4766353	Complete Genome	2021-10-31	4766353	4287	4128	SAMN22502874	PRJNA773639			Pectobacterium brasiliense strain:TS20HJ1 Genome sequencing
Pectobacterium brasiliense				Pectobacterium brasiliense LMG2407		Pectobacterium_brasiliense_LMG2407	GCA_922014665.1										Hopital Henri Mondor APHP	4725162	Contig	2022-01-06	133369			SAMEA11051376	PRJEB49284			Genetic and phenotypic study of the Pectobacterium versatile beta-lactamase
Pectobacterium brasiliense ICMP 19477		ICMP 19477				ASM103867v1	GCF_001038675.1	From INSDC submitter									The New Zealand Institute for Plant & Food Research	4979055	Contig	2015-06-24	1120187	4492	4335	SAMN03780057	PRJNA72121			Pectobacterium brasiliense ICMP 19477 Genome sequencing and assembly
Pectobacterium brasiliense ICMP 19477		ICMP 19477				ASM103867v1	GCA_001038675.1	From INSDC submitter									The New Zealand Institute for Plant & Food Research	4979055	Contig	2015-06-24	1120187	4519	4435	SAMN03780057	PRJNA72121			Pectobacterium brasiliense ICMP 19477 Genome sequencing and assembly
Pectobacterium carotovorum		WPP14				ASM1348802v1	GCF_013488025.1	From INSDC submitter									Cornell University	4892225	Complete Genome	2020-07-23	4892225	4375	4208	SAMN14475103	PRJNA615876			Pectobacterium carotovorum Raw sequence reads
Pectobacterium carotovorum		BF20				101_V1	GCF_002250215.1	From INSDC submitter									Biotechnology Institute of UNAM	4797319	Scaffold	2017-08-14	106099	4416	4218	SAMN06684311	PRJNA381621			Pectobacterium carotovorum strain:BF20 Genome sequencing and assembly
Pectobacterium carotovorum		BF45				Bf45_V1	GCF_002250255.1	From INSDC submitter									Biotechnology Institute of UNAM	4773619	Contig	2017-08-14	115742	4313	4137	SAMN06684312	PRJNA381622			Pectobacterium carotovorum strain:BF45 Genome sequencing and assembly
Pectobacterium carotovorum		S4.16.03.1C				ASM359497v1	GCF_003594975.1	From INSDC submitter									Institute for integrative biology of the cell	4944722	Contig	2018-09-25	139665	4402	4309	SAMN10059736	PRJNA490624			Genomic diversity of the pathogens belonging to Pectobacterium and Dickeya genus isoalted from potato in Morocoo
Pectobacterium carotovorum		S1.15.11.2D				ASM359505v1	GCF_003595055.1	From INSDC submitter									Institute for integrative biology of the cell	4818836	Contig	2018-09-25	99392	4307	4182	SAMN10059737	PRJNA490624			Genomic diversity of the pathogens belonging to Pectobacterium and Dickeya genus isoalted from potato in Morocoo
Pectobacterium carotovorum		S1.16.01.3K				ASM359511v1	GCF_003595115.1	From INSDC submitter									Institute for integrative biology of the cell	4946598	Contig	2018-09-25	146844	4390	4287	SAMN10059738	PRJNA490624			Genomic diversity of the pathogens belonging to Pectobacterium and Dickeya genus isoalted from potato in Morocoo
Pectobacterium carotovorum		S1-A16				ASM359512v1	GCF_003595125.1	From INSDC submitter									Institute for integrative biology of the cell	4835633	Contig	2018-09-25	255206	4365	4233	SAMN10059735	PRJNA490624			Genomic diversity of the pathogens belonging to Pectobacterium and Dickeya genus isoalted from potato in Morocoo
Pectobacterium carotovorum		CFBP1402				ASM1344938v1	GCF_013449385.1	From INSDC submitter									Sorbonne University	4667513	Scaffold	2020-07-21	189429	4210	4062	SAMN15374874	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium carotovorum		CFBP7347				ASM1344939v1	GCF_013449395.1	From INSDC submitter									Sorbonne University	4694461	Scaffold	2020-07-21	280253	4216	4053	SAMN15374892	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium carotovorum		CFBP8734				ASM1344941v1	GCF_013449415.1	From INSDC submitter									Sorbonne University	4702111	Scaffold	2020-07-21	211014	4259	4115	SAMN15374769	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium carotovorum		CFBP6074				ASM1344949v1	GCF_013449495.1	From INSDC submitter									Sorbonne University	4691819	Scaffold	2020-07-21	202394	4248	4072	SAMN15374888	PRJNA639025			Pectobacterium genomes sequencing and assembly
Pectobacterium carotovorum		2A				ASM1641558v1	GCF_016415585.1	From INSDC submitter									Institute of Microbiology, National Academy of Sciences of Belarus	4743928	Complete Genome	2020-12-28	4743928	4247	4038	SAMN17135160	PRJNA687134			Pectobacterium carotovorum 2A - Genome sequencing and assembly
Pectobacterium carotovorum		NY1786A				ASM1674289v1	GCF_016742895.1	From INSDC submitter									Cornell University	4847954	Contig	2021-01-21	102500	4481	4282	SAMN14157684	PRJNA607978			Two P. carotovorum and one P. atrosepticum Assembly
Pectobacterium carotovorum		NY1767A				ASM1674293v1	GCF_016742935.1	From INSDC submitter									Cornell University	4770803	Contig	2021-01-21	120005	4265	4114	SAMN14158925	PRJNA607978			Two P. carotovorum and one P. atrosepticum Assembly
Pectobacterium carotovorum		XP-13				ASM1686499v1	GCF_016864995.1	From INSDC submitter									Fujian Academy of Agricultural Sciences	4868777	Complete Genome	2021-02-11	4868777	4323	4147	SAMN16287598	PRJNA666279			Complete genome sequences of three Pectobacterium strains isolated from potato plant with blackleg symptoms and comparative genomic analyses
